नाम	अक्षराणि	पादेऽक्षराणि	मात्रा-विन्यासः	प्रसिद्धिः	स्मरण-सुलभता	यतिः	मात्राः	लक्षणम्	लक्षणमूलम्	उदाहरणम्	टिप्पणिः	जातयः	गणविन्यासः	गानम्	भाव-रसौचित्यम्
श्रीः	4	1	दा				2	श्रीः । १	वृत्तरत्नाकरः	श्रीस्तत्तैलम्‌					
स्त्री	8	2	दा दा				4	गौ स्त्री । २	वृत्तरत्नाकरः	आद्या सा स्त्री गौरी पायात्‌ 					
नारी	12	3	दा दा दा					मो नारी । ३	वृत्तरत्नाकरः	श्रीनारीगोविंदौ भूयास्तवोद्बुद्ध्यै 					
मृगी	12	3	दा द दा				5	रो मृगी । ४	वृत्तरत्नाकरः	कथ्यतां यात्यसौ गीतगा हा मृगी					
कन्या	16	4	दा दा दा दा				8	म्गौ चेत्कन्या । ५	वृत्तरत्नाकरः	कामक्रीडारूढायासा । एताः कन्या कीदृश्यास्ताः ॥ तथा च । सर्वेषां यः सामान्यर्द्धिः । तस्येशस्स्ताद्भूयो वृद्ध्यै 					
पङ्क्तिः	20	5	दा द द दा दा				8	भ्गौ गिति पंक्तिः । ६	वृत्तरत्नाकरः	व्योमनि नीलां नीरदपंक्तिम्‌ । वीक्ष्य विपन्नाः प्रोषितवध्वः ॥ ६					
तनुमध्या	24	6	दा दा द द दा दा				10	त्यौ स्तस्तनुमध्या । ७	वृत्तरत्नाकरः	कस्यापि महद्भिः पुण्यैरनुकूला । श्यामा तनुमध्या गेहे भवति स्त्री ॥ ७					
शशिवदना	24	6	द द द द दा दा				8	शशिवदना न्यौ । ८	वृत्तरत्नाकरः	मलयजलेपः कुवलयशय्या । दहति वियोगे शशिवदनायाः ॥ ८					
वसुमती	24	6	दा दा द द द दा				9	त्सौ चेद्वसुमती । ९	वृत्तरत्नाकरः	पृथ्वी धृतवती राज्ञा नयवता । मुद्यज्जनपदा श्लाघ्या वसुमती ॥ ९					
कुमारललिता	28	7	द दा द द द दा दा				10	कुमारललिता ज्सौग्‌ । १२	वृत्तरत्नाकरः	कुमारललितानि प्रमोदजननानि । नयाभिमुदमग्र्यां विलोक्य नमनीका ॥ (?) १२					
मदलेखा	28	7	दा दा दा द द दा दा				12	म्सौ गः स्यान्मदलेखा । ११	वृत्तरत्नाकरः	लावण्याम्भसि मग्ने तस्याः काममहेभे । भ्रष्टेयं स्तनकुम्भाद्रोमलीमदलेखा ॥ ११					
मधुमती	28	7	द द द द द द दा				8	मधुमतिननगाः । १०	वृत्तरत्नाकरः						
हंसमाला	28	7	दा द दा दा द दा दा				12	सरगा हंसमाला । १३	वृत्तरत्नाकरः	शरदि प्रेक्ष्य यान्तीं मुदितां हंसमालाम्‌ । त्यजति प्रेयसीं कः सुखलिप्सुः स्वतन्त्रः ॥ १३					
चित्रपदा	32	8	दा द द दा द द दा दा				12	भौ गिति चित्रपदा गः । १५	वृत्तरत्नाकरः	नूपुरशब्दमनोज्ञं ताललयान्वितगीतम्‌ । पीनपयोधरयुग्मा नृत्यति विचित्रपदेयम्‌ ॥ १५					
नाराचिका |  नराचकम्	32	8	दा दा द दा द दा द दा				13	नाराचकं तरौ लगौ । २१	वृत्तरत्नाकरः						
प्रमाणिका	32	8	द दा द दा द दा द दा				12	प्रमाणिका जरौ लगौ । १९	वृत्तरत्नाकरः	प्रवाति दक्षिणानिलः सुपुष्पिताम्रकिंशुकः । वसंत एष सांप्रतं प्रमाणिकाऽत्र कोकिला ॥ १९					
माणवकम्	32	8	दा द द दा [।] दा द द दा			(४)	12	माणवकं भात्तलगाः । १६ चतुर्भिर्यतिरित्याम्नायः । माणवकाक्रीडितमिति पिंगलः । १६	वृत्तरत्नाकरः	वाञ्छसि शं चेद्विपुलं तर्हि सखे मुञ्च शठ – मेधा किं ज्ञास्य रुचिं मित्रमपि त्वचपलम्‌ ॥ (?)					
विद्युन्माला	32	8	दा दा दा दा। दा दा दा दा			४	16	मो मो गो गो विद्युन्माला । १४	वृत्तरत्नाकरः	व्योम्नि व्याप्ते तप्तरेखानाकुर्वन्ती वंग्यांमानम्रां त्वां भर्तुः स्त्रीणां जागर्यका विद्युन्माला ॥ (??) १४ आर्यास्माकं प्रेयःपुत्री कुर्वत्यस्मान् नित्यं तृप्तान् । चान्द्री लेखेवास्मद्गेहे दिव्याल्लोकादङ्कं प्राप्ता॥ वर्णे वर्णे गौरी गौरी केशे केशे श्यामा श्यामा । कोपे कोपे मिथ्या मिथ्या हासे हासे विद्युन्माला ॥					उल्लासः
समानिका	32	8	दा द दा द दा द दा द				12	र्जौ समानिका गलौ च । १८	वृत्तरत्नाकरः	ते समानिका च यान्ति शत्रवो भयेन धीर । राजसंपदं विहाय यद्यजेयबाहवोऽपि ॥ १८					
हंसरुतम्	32	8	दा दा दा द द द दा दा				13	म्नौ गौ हंसरुतमेतत्‌ । १७	वृत्तरत्नाकरः	दृष्ट्वा कासकुसुमानि श्रुत्वा हंसरुतमेतत्‌ । कामार्तः शरदि पान्थ कष्टं जीवति निकृष्टः ॥ १७					
वितानम्	32	8						वितानमाभ्यां यदन्यत्‌ । २२		ज्योत्स्नावितानमैन्दवं पश्य प्रिये मनोरमम्‌ । कोपं त्यज प्रियं भज स्त्रीणां प्रियं हि यौवनम्‌ ॥ अन्यच्च । तस्याः स्मरामि सुंदरं चन्द्रोपमानमाननम्‌ । कंदर्पचापभंगुरं श्रुतिभ्रमोपशोभितमिति ॥	आभ्यां समानिकाप्रमाणिकाभ्यां यदन्यदष्टाक्षरं छन्दस्तद्वितानं नाम । आभ्यां यदन्यदिति ब्रुवन्‌ सूत्रकारो वितानस्यानेकप्रकारत्वं दर्शयति । अन्यथा गणनियमं ब्रूयात्‌ । 				
भद्रिका	36	9	दा द दा द द द दा द दा				13	ननरलगुरुभिश्च भद्रिका । ४५	वृत्तरत्नाकरः	विविधपरकथाप्रगल्भवागतिविरलविसंस्थुलद्विजा । कपिलचिकुरसंचया कृशा न भवति वनिता प्रभद्रिका ॥ ४५					
भुजगशिशुभृता	36	9	द द द द द द दा। दा दा			(७)	12	भुजगशिशुभृता नौ मः । २४ सप्तभिर्यतिरित्याम्नायः ।	वृत्तरत्नाकरः	वरतरुलवलीवल्लीकिसलयगहनछिन्नाः । भुजगशिशुभृता रम्या मलयगिरिवनोद्देशाः ॥ २४					
हलमुखी	36	9	दा द दा द द द द द दा				12	रान्नसाविह हलमुखी । २३	वृत्तरत्नाकरः	निंदितां वपुषि पुरुषद्वेषिणीं विरदशनाम्‌ । तां सखे परिणयविधौ दूरतस्त्यज हलमुखीम्‌ ॥ २३					
मत्ता	40	10	दा दा दा दा द द द द दा दा	३		(४, ६)	16	ज्ञेया मत्ता मभसगयुक्ता । २९ चतुर्भिर्यतिरित्याम्नायः । 	वृत्तरत्नाकरः	यच्चूताग्रे स्मरशरबंधौ बद्धावासा पिकसहवयः । गायन्त्येताः कलमिति मत्तास्तन्मध्येऽहं सखि मधुरेषः ॥ २९					
रुक्मवती| चम्पकमाला	40	10	दा द द दा दा दा द द दा दा	३		(५)	16	चम्पकमाला चेद्भमसा गः । २० भ्मौ सगयुक्तौ रुक्मवतीयम्‌ । २८	वृत्तरत्नाकरः	चेतसि यस्या जीवितनाथस्तत्प्रियकार्यासक्तमनस्का । देवगुरुश्वश्रूद्विजभक्ता रुक्मवती स्यात्कीर्तिमती वा ॥ २८					
पणवः	40	10	दा दा दा द द। द द दा द दा			(५)	15	म्नौ य्गौ चेति पणव नामेदम्‌ । २६ पञ्चभिर्यतिः	वृत्तरत्नाकरः	यासां वक्ष्यसि घनवक्षोजे हारः संप्रति शुशुभे तारः । पादौ नूपुररववाचालौ भ्रातस्ताः पणवनिताः पश्य ॥ २६					
मनोरमा	40	10	द द द दा द दा द दा द दा				14	नरजगैर्भवेन्मनोरमा । ३०	वृत्तरत्नाकरः	युवतिरिंदुसुंदरानना पृथुघनस्तनी कृशोदरी । गुरुनितम्बभारमंथरा हरति मे मनो मनोरमा ॥ ३०					
मयूरसारिणी	40	10	दा द दा द दा द दा द दा दा				16	र्जौ रगौ मयूरसारिणी स्यात्‌ । २७	वृत्तरत्नाकरः	विस्तारेण बर्हिभाररम्या बर्हिणी मयूरसारणीयम्‌ । गर्जितं निशम्य वारिदानां नृत्यति प्रमोदनिर्भराङ्गी ॥ २७					
विराट्| शुद्धविराट्	40	10	दा दा दा द द दा द दा द दा				16	म्सौ ज्गौ शुद्धविराडिदं मतम्‌ । २५	वृत्तरत्नाकरः	कुर्वन्‌ राज्यमपीह संततं कामक्रोधविवर्जितः सदा । मित्रो मे न समोभयानतः(?) सत्यं शुद्धविराडसि प्रभो ॥ २५					
उपस्थिता	44	11	दा दा द द दा द द दा द दा दा				17	त्जौ जो गुरुणेयमुपस्थिता । ३१	वृत्तरत्नाकरः	त्यक्त्वा निजशस्त्रमुपस्थिता ये प्रांजलयस्तव शत्रवः । तेषामवनीश्वर जीवितं दत्तं भवता समराजिरे ॥ ३१					
दोधकम्	44	11	दा द द दा द द दा द द दा दा	३			16	दोधकवृत्तमिदं भभभाद्गौ । ३७	वृत्तरत्नाकरः	यस्य नरस्य भवेदिह साक्षाद्वृत्तमदोधकयोरपि तुल्यम्‌ । तेन समं कथमर्थवतापि प्रेमकथां कथयामि वयस्ये ॥ ३७					
शालिनी	44	11	दा दा दा दा। दा द दा दा द दा दा	४		४	20	शालिन्युक्ता म्तौ तगौ गोऽब्धिलोकैः । ३८	वृत्तरत्नाकरः	एको देवः यस्य शय्यास्ति सर्पः एको देवः यस्य हारोऽस्ति सर्पः॥ घण्टानादो निःस्वनो डिण्डिमानाम्॥ नो जानीते शालिनी वारायार्यप्रायेणेह स्तादभेदं मनुष्यः । सोऽपि प्रेम प्राप्य देवीप्रियायाः धुर्यात्मानं वेत्ति वैदग्धभाजाम्‌ ॥ ३८		वैदिकगतिः			वीररसः
इन्द्रवज्रा	44	11	दा दा द दा दा द द दा द दा दा	५			18	स्यादिन्द्रवज्रा यदि तौ जगौ गः । ३२	वृत्तरत्नाकरः	स्यादिन्द्रवज्रादि कर्कशं मे चेतो यदीये विरहागमेऽस्मिन्‌ । नूनं तदानीं यदि तद्वियोग- संतापसंयत्सहनक्षमः स्याम्‌ ॥ 					
रथोद्धता	44	11	दा द दा द द द दा द दा द दा	५			16	रो नराविह रथोद्धता लगौ । ४२	वृत्तरत्नाकरः	अङ्गु|लीभिरिव | केश|सञ्चयं संनि|गृह्य तिमि|रं म|रीचिभिः  -- अथवा ५|३ मात्राः- कुड्मली|कृतस|रोजलो|चनं  चुम्बती|व रज|नीमुखं| शशी	चन्द्रोदयादौ बहुप्रयुक्तम्। मात्रासमकम् इव वाच्या। 		र न र ल ग।		शृङ्गाररसः।
स्वागता	44	11	दा द दा द द द दा द द दा दा	५		११	16	स्वागतेति रनभाद्गुरुयुग्मम्‌ । ४३	वृत्तरत्नाकरः	सर्वलोकसुखदास्वपि वर्षास्वागतासु न सुखी रिपुवर्गः । विन्ध्यवर्मनृपते तव खड्गभ्रान्तिभाजमचिरामभिवीक्ष्य ॥ ४३	 रथोद्धता-सोदरी। मात्रासमकम् इव वाच्या।			दा द |दा द द द |दा द द| दा दा।	
अनुकूला| श्रीः | कुड्मलदन्ती	44	11	दा द द दा दा। द द द द दा दा			५	16	पञ्चरसैर्श्रीर्भतनगगैः स्यात्‌ । ४१ पंचभिः षड्भिर्यतिर्यथा । कुड्मलदंतीत्येके ।	वृत्तरत्नाकरः	द्रव्यविमोहाज्जलनिधियानं संगरभूमौ त्यजति च देहम्‌ । कृत्यमकृत्यं गणयति नैव श्रीरसलुब्धो ध्रुवमिह जन्तुः ॥ ४१					
वृन्ता	44	11	द द द द। द द द द दा दा दा			४		ननसगगुरुरचिता वृन्ता । ४४ अत्र मण्डूकप्लुतन्यायेन शालिन्युक्तेति सूत्रादब्धिलोकैरिति पदमनुवर्तते । तेन हि चतुर्भिर्यतिः ।	वृत्तरत्नाकरः	मधुकरचरणभराक्रान्तं पथ तदिह कुसुममिदं वृन्तात्‌ । कथयति विषयवियुक्तानां विधिपरिणतिमिव लोकानाम्‌ ॥ ४४					
उपस्थितम् | शिखण्डितम्	44	11	द दा द द द दा दा दा द दा दा				17	उपस्थितमिदं ज्सौ ताद्गकारौ । ४७ शिखण्डितमिदं ज्सौ त्गौ गुरुश्चेत्‌ । ४८	वृत्तरत्नाकरः	उपस्थितमनेकाश्चेतकी चुलुक्यनृपतेः सैन्यं विशालम्‌ । अवन्तिप्रिय निहित्वा न कोऽपि ध्रुवं क्षितितले जेतुं समर्थः ॥ ४७					
उपेन्द्रवज्रा	44	11	द दा द दा दा द द दा द दा दा				17	उपेन्द्रवज्रा जतजास्ततो गौ । ३३	वृत्तरत्नाकरः	उपेन्द्रवज्रादि महाभिघाता प्रयान्ति नाशं स्मरतो नरस्य । अहर्निशं त्वां विजितामरेश श्रीकृष्ण विष्णोर्गुरु मे प्रसादम्‌ ॥ ३३					
कलस्वनवंशः | मौक्तिकमाला	44	11	दा द द दा द द दा दा द द दा				16	मौक्तिकमाला भवेद्भभ्तलगाः । ४९	वृत्तरत्नाकरः						
भ्रमरविलसिता	44	11	दा दा दा दा। द द द द द द दा				16	म्भौ न्लौ गः स्याद्भ्रमरविलसितम्‌ । ४० प्राच्येव यतिर्यथा ।	वृत्तरत्नाकरः	त्यक्त्वा मानं चरणविपतितस्तन्मन्येऽहं प्रिय सखि नियतम्‌ । त्वद्वक्त्राब्जभ्रमरविलसितं कर्तुं वांछत्ययमिह दयितः ॥ ४०					
वातोर्मी	44	11	दा दा दा दा। द द दा दा द दा दा			४	19	वातोर्मीयं गदिता म्भौ तगौ गः । ३९	वृत्तरत्नाकरः	बलाद्वातोर्मय एते सनक्राः सामुद्राणां सलिलानां समूहाः । आब्रह्मादीनपि संहृत्य लोकान्‌ येषामन्तः सुखशायी मुरारिः ॥ ३९					
सान्द्रपदम्	44	11	दा द द दा दा द द द द दा द				15	सान्द्रपदं भ्तौ नगगुरुभिश्च । ३५	वृत्तरत्नाकरः						
सुमुखी	44	11	द द द द दा। द द दा द द दा			५	14	नजजलगैर्गदिता सुमुखी । ३६ पंचभिर्यतिरित्याम्नायः । 	वृत्तरत्नाकरः	सुतजननी सुकुलप्रभवा मृदुवचना सुरते चतुरा । भवति गृहे विपुलैः सुकृतैः मृगनयना युवतिः सुमुखी ॥ ३६					
सेनिका | श्येनिका	44	11	दा द दा द दा द दा द दा द दा				17	श्येनिका रजौ रलौ गुरुर्यदा । ४६	वृत्तरत्नाकरः	श्येनिकाशृगालसंकुले रणे विंध्यवर्मदेव ये त्वया हताः । शत्रवस्त एव तारकाश्रयं तन्वते विमानगाः सुरावृताः ॥ ४६					
इन्दुवंशा | इन्द्रवंशा	48	12	दा दा द दा दा द द दा द दा द दा	४			19	स्यादिन्द्रवंशा ततजैः रसंयुतैः । ५२	वृत्तरत्नाकरः	आदीन्द्रवंशाद्दिवमस्तभूरुहप्रच्छादितानेकगुहा गृहोऽपि सन्‌ । धाराधिनाथस्य भयेन विद्रुतान्‌ भूगोप्तुरिष्टान्न भवामि नेश्वरः ॥ ५२					
भुजङ्गप्रयातम्	48	12	द दा दा द दा दा द दा दा द दा दा	४			20	भुजंगप्रयातं भवेद्यैश्चतुर्भिः । ६०	वृत्तरत्नाकरः	विदग्धांगनालोचनानन्दकारी सखि स्वेच्छया वीक्षितुं प्राणनाथः । मया नैव लब्धो हत ग्राममार्गे भुजंगप्रयातानुकारिण्यमुष्णिग्‌ (?)॥ ६०					
वंशस्थम्	48	12	द दा द दा दा द द दा द दा द दा	४			18	जतौ तु वंशस्थमुदीरितं जरौ । ५१	वृत्तरत्नाकरः	स्ववेश्मवंशस्थमुदीक्ष्य वायसं प्रियागमासंशिनमुत्तमेङ्गितैः । जगाद काचिन्मुदिता समागते प्रिये प्रदास्यामि तवेप्सितं खग ॥ ५१					
तोटकम्	48	12	द द दा द द दा द द दा द द दा	५			16	इह तोटकमम्बुधिसैः प्रथितम्‌ । ५३	वृत्तरत्नाकरः	त्यज मानममानमनंतगुणं कुरु वाक्यमिदं परिणामहितम्‌ । त्वयि तोटकजायतनेत्रयुगे त्वरितं दयितांतिकमिन्दुमुखि ॥ ५३ भवशङ्करदेशिकमे शरणम्!					
द्रुतविलम्बितम्	48	12	द द द दा द द दा द द दा द दा	५			16	द्रुतविलम्बितमाह नभौ भरौ । ५४ द्रुतविलम्बितमुक्तमुदारिभिर् नभभरैर् अतिलोकमनोहरम्।	वृत्तरत्नाकरः	द्रुतविलम्बितगेन तवारिणा क्वचिदपि स्थिरभावमविन्दता । गुरुनितम्बभरालसगामिनी प्रतिपदं स्ववधूर्नृप निन्द्यते ॥ ५४					
स्रग्विणी	48	12	दा द दा दा द दा दा द दा दा द दा	५			20	रैश्चतुर्भिर्युता स्रग्विणी संमता । ६१	वृत्तरत्नाकरः	पद्मपत्रायताक्षी शशांकानना कुंकुमोद्वर्तितांगी घनोच्चस्तनी । अंगहारैरनेकप्रकारैर्युता नृत्यति स्त्री सखे स्रग्विणी सुंदरा ॥ ६१ भाति मे भारतम् भाति मे भारतं भूतले भाति मे नारतं भारतं।					
ललामललिताधरा | पञ्चचामरम्	48	12	द दा द दा द दा द दा द दा द दा		५		18	जरौ जरौ वदन्ति पञ्चचामरम्‌ । ७२	वृत्तरत्नाकरः						
उज्ज्वला	48	12	द द द द द द दा द द दा द दा				15	ननभरसहिताऽभिहितोज्ज्वला । ६६	वृत्तरत्नाकरः	इह शरदि भवन्त्युकाशया (?) विमलतरशशांककरोज्ज्वला । विदधति गमनं विजयार्थिनः प्रतिदिवसमवनीपतयः स्वयम्‌ ॥ ६६					
कुसुमविचित्रा	48	12	द द द द दा दा। द द द द दा दा			६	16	नयसहितौ न्यौ कुसुमविचित्रा । ५८ षड्भिर्यतिरित्युपदेशः ।	वृत्तरत्नाकरः	परिहृतरोषा कृतबहुवेषा सह निजभर्ता तरुणि वसंते । प्रमुदितपुंस्कोकिल इव रम्यां व्रज वनराजिं कुसुमविचित्राम् ॥ ५८					
चन्द्रवर्त्म	48	12	दा द दा द द द दा द द द द दा				16	चन्द्रवर्त्म गदितं तु रनभसैः । ५०	वृत्तरत्नाकरः	चक्षुषी परिविमृश्य करयुगात्‌ क्रान्तहर्यपरिशोभितवदना । चन्द्रवर्त्म कथयेत्यतिविवशा कांतमेवमवदन्निशि वनिता ॥ ५०					
जलधरमाला	48	12	दा दा दा दा। द द द द दा दा दा दा			४	20	अब्ध्यंगैः स्याज्जलधरमाला म्भौ स्मौ । ६८	वृत्तरत्नाकरः	सत्याकाशे जलधरमालाव्याप्ते नीपामोदे प्रसरति झंझावाते । वर्षाकाले मुदितमयूरव्राते त्यक्त्वा कान्तां व्रजसि कथं पाथ त्वम्‌ ॥ ६८					
जलोद्धतगतिः	48	12	द दा द द द दा। द दा द द द दा			६	16	रसैर्जसजसा जलोद्धतगतिः । ५९	वृत्तरत्नाकरः	अतीत्य सरितो जलोद्धतगतीरनेकगहना कुलानपि गिरीन्‌ । समुद्रतरमाश्रिता रिपुनृपाः सुखं न निशि शेरते तव भयात्‌ ॥ ५९					
तामरसम्	48	12	द द द द दा द द दा द द दा दा				16	इति वद तामरसं नजजाद्यः । ७३	वृत्तरत्नाकरः	मृदुतरतामरसारुणपाद-व्रणतितिविस्रवदस्रजलौघाः । विदधति पर्व तिरोधसि यानं करपिहितोच्चक्रु वा रिपुवधः ॥ ७३ (?)					
नयमालिनी | नवमालिनी	48	12	द द द द दा द दा द द द दा दा			८?	16	इह नवमालिनी नजपरौ भ्यौ । ६९  इहेत्यवग्रहणादब्ध्यंगैरिति पदविरीततया विपरिणमति तेनाष्टभिः चतुर्भिर्यथा ।	वृत्तरत्नाकरः	तव निशितासिघातदलिता रिद्धिपदकुम्भमौक्तिकसमूहैः । कृतनवमालिनीव भजति त्वां प्रति स्मरं नरेन्द्र जयलक्ष्मीः ॥ ६९ (?)					
परिलेखः | मौक्तिददाम	48	12	द दा द द दा द द दा द द दा दा				17	चतुर्जगणं वद मौक्तिकदाम । ५७	वृत्तरत्नाकरः						
पुटः	48	12	द द द द द द दा दा। दा द दा दा			८	17	वसुयुगविरतिर्नौ म्यौ पुटोऽयम्‌ । ५५	वृत्तरत्नाकरः	अपि चरणनतोऽहं तत्प्रसीद त्यज सरसिजनेत्रे मौनमुद्राम्‌ । वचनममृतकल्पं श्रोतुकामा श्रवणपुटनिपेयं सर्वदा ते ॥ ५५					
प्रमुदितवदना	48	12	द द द द द द दा द दा दा द दा				16	प्रमुदितवदना भवेन्नौ ररौ । ५६ 	वृत्तरत्नाकरः	गुरुकुचयुगलां विशंलक्षणां विकटकटितटां मनोज्ञां सदा । विविधसुरतिकेलिदक्षामहं प्रमुदितवदनां स्मरामि प्रियाम्‌ ॥ ५६					
प्रभा	48	12	द द द द द द दा। दा द दा दा दा			७		स्वरशरविरतिर्नौ रौ प्रभा नाम । ७०	वृत्तरत्नाकरः						
प्रमिताक्षरा	48	12	द द दा द दा द द द दा द द दा				16	प्रमिताक्षरा सजससैरुदिता । ६५	वृत्तरत्नाकरः	चरणानतिं गतवति प्रसभं दयिते नितांतसुभगे सुभगे । परुषाणि संत्यज वचांसि सखि प्रमिताक्षरा भव शशांकमुखि ॥ ६५					
प्रियंवदः | प्रियंवदा	48	12	द द द दा द द द दा द दा द दा				16	भुवि भवेन्नभजरैः प्रियंवदा । ६२	वृत्तरत्नाकरः	गुरुपयोधरवती सुमध्यमा विपुलपुण्यनिचयैः स्ववेश्मनि । भवति पार्वणशशांकसुंदराननवती प्रियतमा प्रियंवदा ॥ ६२					
मणिमाला	48	12	दा दा द द दा दा दा दा द द दा दा				20	त्यौ त्यौ मणिमाला छिन्ना गुहवक्त्रैः । ६३	वृत्तरत्नाकरः	मातः सुरसिन्धो त्रैलोक्यपवित्रे पश्यामि कदा ते पापापहमम्भः । चंचन्मणिमालालंकारमणीनां त्यक्त्वा वनितानां संगं विषतुल्यम्‌ ॥ ६३					
मालती | वरतनुः	48	12	द द द द दा द द दा द दा द दा				16	भवति नजावथ मालती जरौ । ७१ वरतनुरित्येके ।	वृत्तरत्नाकरः	भ्रमरयुवा भ्रमतीह मालतीतरुतलमप्यपहाय केतकीम्‌ । युवतिजनेन गृहीत नाम कः कथमपि न प्रतिबोधमेत्यसौ ॥ ७१					
ललिता	48	12	दा दा द दा द द द दा द दा द दा				18	धीरैरभाणि ललिता तभौ जरौ । ६४	वृत्तरत्नाकरः	पीनोन्नतस्तनभरोपरिस्फुरद्धारावलीसुभगमायतेक्षणा । नृत्यत्यसौ सुललितं हि नूपुराध्वानप्रबोधितमनोभवा वधूः ॥ ६४					
वैश्वदेवी	48	12	दा दा दा दा दा। दा द दा दा द दा दा			५	22	पञ्चाश्वैश्छिन्ना वैश्वदेवी ममौ यौ । ६७	वृत्तरत्नाकरः	वश्यात्मा नित्यस्नानशीलो महात्मा मित्रे शत्रौ वा तुल्यचित्तप्रवृत्तिः । श्रद्धासंपन्नो वैश्वदेवी च लोके स स्वर्गस्त्रीणां वल्लभः स्यात्सदैव ॥ ६७					
शुद्धान्तम् | गाधिक-वृन्ता	48	12	द द द द। द द द द दा दा दा दा				16		वृत्तरत्नाकरः						
प्रहर्षिणी	52	13	दा दा दा। द द द द दा द दा द दा दा	३		३	20	म्नौ ज्रौ गस्त्रिदशयतिः प्रहर्षिणीयम्‌ । ७५	वृत्तरत्नाकरः	उत्फुल्ल-स्थल-नलिनी-वनाद् अमुष्माद् उद्धूतः सरसिजसम्भवः परागः  वात्याभिर् वियति विवर्तितः समन्ताद्  आधत्ते कनकमयातपत्रलक्ष्मीम्		वैदिक-गतिः।		www.youtube.com/watch?v=taXMwE4ZOjw 	गाम्भीर्यम्।
कलहंसः | नन्दिनी	52	13	द द दा द दा द द द दा द द दा दा				18		वृत्तरत्नाकरः						
चन्द्रिका	52	13	द द द द। द द दा दा द दा द दा दा			४	18		वृत्तरत्नाकरः						
चन्द्रिका | क्षमा	52	13	द द द द द द दा। दा द दा दा द दा			७	18	तुरगरसयतिर्नौ ततौ गः क्षमा । ७४	वृत्तरत्नाकरः	चकितमृगदृशा नेक्षितो लीलया त्रिवलितवदनश्रीचयाहं मुहुः । न च सुरतटिनी न क्षमा चाश्रिता गतमिदमधुना जीवितं मे वृथा ॥ ७४					
मञ्जुभाषिणी	52	13	द द दा द दा द द द दा द दा द दा				18		वृत्तरत्नाकरः						
मत्तमयूरः	52	13	दा दा दा दा। दा द द दा दा द द दा दा			४	22	वेदै रन्ध्रैर्म्तौ यसगा मत्तमयूरम्‌ । ७७	वृत्तरत्नाकरः	चञ्चं चूतं पुष्पितकं केल्लितरूभिः क्रीडत्क्रोडं संचरदुन्मत्तमृगोधम्‌ । स्निग्धच्छायं वारिततापं तरुखण्डैः माद्यद्भृंगं मत्तमयूरं वनमेतत्‌ ॥ ७७					
रुचिरा १	52	13	द दा द दा। द द द द दा द दा द दा				18	पाठान्तरम्‌ । चतुर्ग्रहैरिह रुचिरा जभौ स्यौ गः । ७६ चतुर्ग्रहैरिह रुचिरा जभैस्जगाः । ७६	वृत्तरत्नाकरः	समीहते य इह परापदापदं वियच्छरित्तटरुचिरोटजालयः । मृगीदृशो वदनसरोजदर्शनं न तस्य तत्प्रमदकरं कवत्‌ ॥ ७६					
रुचिरा २	52	13	द दा द दा। द द द द दा द दा दा दा				18	चतुर्ग्रहैरिह रुचिरा जभौ स्यौ गः । ७६	वृत्तरत्नाकरः						
वसन्ततिलका	56	14	दा दा द दा द द द दा द द दा द दा दा	५			21		वृत्तरत्नाकरः	सुप्रभाते - मातस्समस्तजगतां मधुकैटभारेः वक्षोविहारिणि मनोहरदिव्यमूर्ते ।… ध्येयस्सदा सवितृमणलमध्यवर्ती…।					
अपराजिता	56	14	द द द द द द दा। द दा द द दा द दा			७	18		वृत्तरत्नाकरः						
अलोला	56	14	दा दा दा द द दा दा। दा दा दा द द दा दा			७	24		वृत्तरत्नाकरः						
असम्बाधा	56	14	दा दा दा दा दा। द द द द द द दा दा दा			५	22		वृत्तरत्नाकरः						
इन्द्रवदना	56	14	दा द द द दा द द द दा द द द दा दा				19		वृत्तरत्नाकरः						
प्रहरणकलिका	56	14	द द द द द द दा। द द द द द द दा			७	16		वृत्तरत्नाकरः						
मयूवदना , मालिनी	60	15	द द द द द द दा दा। दा द दा दा द दा दा	४		८	21		वृत्तरत्नाकरः	नयनसुमधुरो मे प्राणनाथो दिनान्ते-- सदनमधिगतोऽसौ दर्शनेनैव नूनम् । शमयति हृदि तापं वर्तमानं वियोगा--दिति मननरता सा गेहकार्यातिदूरा ॥ सरस-रभस-पादापात-भाराभि-राव- प्रचकित-चल-सप्त-द्वन्द्व-लोक-स्तुतस्त्वम् ।  रिपु-रुधिर-निषेकेणेव शोणांङ्घ्रि-शालिन् दह-दह नर-सिंहासह्य-वीर्याहितं मे ॥ २ ॥					
एला	60	15	द द दा द दा। द द द द द द द द दा दा			५	19		वृत्तरत्नाकरः						
चन्द्रलेखा	60	15	दा दा दा दा द दा दा। दा दा द दा दा द दा दा			७			वृत्तरत्नाकरः						
प्रभद्रकम्	60	15	द द द द दा द दा द द द दा द दा द दा				20		वृत्तरत्नाकरः						
मणिगुणनिकर	60	15	द द द द द द द द। द द द द द द दा			८			वृत्तरत्नाकरः						
माला	60	15	द द द द द द। द द द द द द द द दा			६			वृत्तरत्नाकरः						
शशिकला	60	15	द द द द द द द। द द द द द द द दा			७	16		वृत्तरत्नाकरः						
ऋषभगजविलसितम्	64	16	दा द द दा द दा। द द द द द द द द द दा			६	20		वृत्तरत्नाकरः						
वाणिनी	64	16	द द द द दा द दा द द द दा द दा द दा दा				22		वृत्तरत्नाकरः						
